PercGcycle	RhipAngX35	RhipAngY35	RhipAngZ35	RkneeAngX35	RkneeAngY35	RkneeAngZ35	RankleAngX35	RankleAngY35	RankleAngZ35	RhipMomX35	RhipMomY35	RhipMomZ35	RkneeMomX35	RkneeMomY35	RkneeMomZ35	RankleMomX35	RankleMomY35	RankleMomZ35	RgfX35	RgfY35	RgfZ35	RhipPow35	RkneePow35	RanklePow35	LhipAngX35	LhipAngY35	LhipAngZ35	LkneeAngX35	LkneeAngY35	LkneeAngZ35	LankleAngX35	LankleAngY35	LankleAngZ35	LhipMomX35	LhipMomY35	LhipMomZ35	LkneeMomX35	LkneeMomY35	LkneeMomZ35	LankleMomX35	LankleMomY35	LankleMomZ35	LgfX35	LgfY35	LgfZ35	LhipPow35	LkneePow35	LanklePow35
87	5.883791	-3.851494	52.077147	1.711533	-28.598636	51.887623	2.816836	11.318174	12.702819	0.044865	0.039709	-0.620877	-0.010592	0.008242	-0.340144	-0.005751	0.00663	-0.02983				0.352046	-4.09368	0.050159	8.535966	7.635568	51.34771	9.234984	-31.865839	46.808672	-9.5437	7.441636	10.423045	-0.050701	0.090376	-0.562392	-0.121951	-0.000709	-0.31537	-0.003122	-1.5e-05	-0.03314				0.301784	-3.903605	0.063409
88	6.150543	-3.367145	51.788168	2.25659	-28.968982	46.927019	3.71277	11.893687	13.51312	0.023072	0.053368	-0.714416	-0.022906	0.010311	-0.407093	-0.005353	0.008918	-0.026093				0.451975	-4.785617	0.037848	8.754258	8.195194	51.031738	8.863118	-32.456476	41.852647	-8.764327	8.207008	11.296336	-0.075699	0.10089	-0.679051	-0.146166	0.004767	-0.390803	-0.00383	0.003303	-0.028593				0.488672	-4.782464	0.054607
89	6.409232	-3.107284	51.493736	2.471365	-29.111217	42.107651	4.71574	12.469547	14.325469	-0.002121	0.059829	-0.823696	-0.031066	0.013131	-0.473821	-0.0044	0.011772	-0.020273				0.57715	-5.388403	0.018604	8.923495	8.429024	50.691961	8.157052	-32.798478	37.090356	-7.609725	9.131275	12.245653	-0.094512	0.099994	-0.818231	-0.157934	0.012265	-0.468558	-0.004317	0.00893	-0.022615				0.720194	-5.557132	0.02592
90	6.685814	-3.07086	51.196968	2.38564	-28.963574	37.496448	5.799917	12.996725	15.123234	-0.031938	0.059206	-0.931773	-0.033876	0.016459	-0.534235	-0.002797	0.014885	-0.012677				0.704802	-5.782098	-0.005077	9.062211	8.33891	50.33182	7.199681	-32.868552	32.580123	-6.047008	10.099637	13.210063	-0.111622	0.090832	-0.95367	-0.157082	0.020666	-0.539857	-0.004123	0.015746	-0.015132				0.942605	-6.052178	-0.018584
91	6.999901	-3.20862	50.90115	2.074646	-28.525773	33.175207	6.930848	13.437371	15.896373	-0.071446	0.053738	-1.02301	-0.032792	0.019755	-0.5845	-0.00056	0.017819	-0.003912				0.809299	-5.873121	-0.029559	9.178884	7.983418	49.956174	6.119586	-32.69186	28.390452	-4.085021	10.984411	14.142551	-0.138788	0.078451	-1.063328	-0.149084	0.028168	-0.598044	-0.002734	0.02194	-0.005762				1.102419	-6.1522	-0.069456
92	7.359409	-3.433896	50.613024	1.635153	-27.859576	29.241298	8.065986	13.771619	16.642393	-0.124472	0.046275	-1.090049	-0.030577	0.022393	-0.623578	0.002205	0.020134	0.005372				0.875687	-5.619237	-0.051577	9.27414	7.457074	49.575422	5.055084	-32.343082	24.607588	-1.791494	11.688862	15.014903	-0.185461	0.066587	-1.139849	-0.141697	0.032978	-0.640676	0.000179	0.025921	0.005586				1.167137	-5.828602	-0.117615
93	7.756798	-3.642151	50.342702	1.160216	-27.070862	25.799765	9.153227	13.998876	17.361286	-0.187647	0.038913	-1.136782	-0.02926	0.023967	-0.652262	0.005285	0.021616	0.014599				0.899174	-5.030364	-0.068587	9.347714	6.865882	49.206241	4.119997	-31.932096	21.330672	0.698313	12.177394	15.808322	-0.251026	0.056253	-1.190065	-0.140831	0.033865	-0.668773	0.004457	0.026888	0.017942				1.134573	-5.12043	-0.154438
94	8.170095	-3.72943	50.100286	0.723542	-26.285125	22.949198	10.133321	14.133074	18.047411	-0.24458	0.03258	-1.173167	-0.028249	0.024514	-0.671331	0.008354	0.022404	0.023207				0.873293	-4.153846	-0.078478	9.404675	6.310071	48.86744	3.386983	-31.578843	18.656517	3.193223	12.478032	16.504277	-0.319688	0.046561	-1.225044	-0.146646	0.030766	-0.6847	0.009387	0.025124	0.02951				1.031398	-4.105604	-0.171461
95	8.57045	-3.605784	49.890668	0.377228	-25.625471	20.766189	10.947166	14.193805	18.682965	-0.270919	0.027772	-1.204129	-0.025426	0.024296	-0.679948	0.011119	0.022804	0.03086				0.796368	-3.06502	-0.078761	9.457869	5.874476	48.571474	2.890161	-31.385618	16.660486	5.480063	12.658775	17.082265	-0.365316	0.036737	-1.249323	-0.153051	0.025097	-0.689872	0.014001	0.022044	0.038736				0.906767	-2.886018	-0.163857
96	8.934007	-3.209748	49.707913	0.155885	-25.190797	19.292363	11.542157	14.19902	19.232934	-0.253177	0.025363	-1.226916	-0.020472	0.023549	-0.675942	0.013379	0.023084	0.037267				0.7013	-1.877663	-0.066801	9.527934	5.619445	48.316113	2.635618	-31.412138	15.382335	7.367645	12.790307	17.51865	-0.367288	0.027106	-1.261866	-0.152362	0.018753	-0.683904	0.0176	0.019263	0.045032				0.821149	-1.591121	-0.132804
