hip_X	hip_Y	hip_Z
	3.771868	-28.250391	-88.104804
	3.772850	-28.363550	-87.561988
	3.762506	-28.364888	-87.087230
	3.737314	-28.256740	-86.694335
	3.696145	-28.044713	-86.395232
	3.641404	-27.736763	-86.200568
	3.579091	-27.341987	-86.120154
	3.517620	-26.869928	-86.161013
	3.466032	-26.330837	-86.323062
	3.432500	-25.735861	-86.595638
	3.423755	-25.096244	-86.956808
	3.445063	-24.422529	-87.375512
	3.499827	-23.724602	-87.815798
	3.588724	-23.012212	-88.241499
	3.709066	-22.295452	-88.620160
	3.854712	-21.584919	-88.925848
	4.016938	-20.891340	-89.140737
	4.186374	-20.224934	-89.255949
	4.354389	-19.594993	-89.272132
	4.512786	-19.009898	-89.199347
	4.653518	-18.477329	-89.055758
	4.769674	-18.004269	-88.865069
	4.856872	-17.596873	-88.652804
	4.914161	-17.260634	-88.442222
	4.944355	-17.000708	-88.251178
	4.953974	-16.821744	-88.091309
	4.952932	-16.727308	-87.969657
	4.953779	-16.720048	-87.890461
	4.970589	-16.802572	-87.855610
	5.018118	-16.977722	-87.864881
	5.111203	-17.247833	-87.916499
	5.264187	-17.613141	-88.007642
	5.490846	-18.069397	-88.134371
	5.804244	-18.605727	-88.290214
	6.215704	-19.203793	-88.464408
	6.732865	-19.838129	-88.642493
	7.357092	-20.477417	-88.809857
	8.080620	-21.086568	-88.956767
	8.884042	-21.629268	-89.083132
	9.734815	-22.070773	-89.200150
	10.587257	-22.380618	-89.326362
	11.385370	-22.534835	-89.480573
	12.070124	-22.517756	-89.677262
	12.590187	-22.323312	-89.926505
	12.912630	-21.955069	-89.764990
	13.030000	-21.424493	-89.395472
	12.961829	-20.747596	-88.970358
	12.749900	-19.941157	-88.501502
	12.448034	-19.020318	-88.004917
	12.110057	-17.998026	-87.498821
	11.780110	-16.885572	-87.001417
	11.487421	-15.693280	-86.528382
	11.245765	-14.430854	-86.090687
	11.055998	-13.107559	-85.693113
	10.909825	-11.731832	-85.334056
	10.794053	-10.310246	-85.007106
	10.694598	-8.847329	-84.704154
	10.599399	-7.346902	-84.419010
	10.499756	-5.813407	-84.149611
	10.390079	-4.252364	-83.898020
	10.266900	-2.670689	-83.669791
	10.128225	-1.077013	-83.473479
	9.973201	0.518638	-83.319382
	9.801659	2.105604	-83.217602
	9.613197	3.672944	-83.176140
	9.406017	5.209537	-83.199328
	9.176608	6.704640	-83.287124
	8.920444	8.148357	-83.435834
	8.632925	9.531142	-83.639160
	8.310408	10.843128	-83.888702
	7.951491	12.074159	-84.174872
	7.557904	13.214344	-84.488143
	7.134515	14.254843	-84.819027
	6.688876	15.188487	-85.156920
	6.230853	16.009768	-85.489404
	5.772279	16.714448	-85.802567
	5.326208	17.299466	-86.082266
	4.905572	17.763132	-86.315561
	4.521863	18.105004	-86.491541
	4.184474	18.325365	-86.602193
	3.900470	18.424897	-86.643608
	3.674409	18.404883	-86.616449
	3.508363	18.267593	-86.525212
	3.402273	18.016466	-86.376811
	3.353988	17.656218	-86.179492
	3.358728	17.193075	-85.942760
	3.408770	16.634633	-85.677875
	3.493893	15.989220	-85.397738
	3.602491	15.265518	-85.115712
	3.723252	14.472785	-84.844264
	3.846805	13.621002	-84.594035
	3.966406	12.720534	-84.373599
	4.077725	11.781589	-84.189797
	4.178323	10.813913	-84.047514
	4.267332	9.826815	-83.948823
	4.345917	8.829037	-83.893098
	4.418121	7.828333	-83.878305
	4.491208	6.831183	-83.902134
	4.575394	5.842580	-83.962639
	4.682839	4.865826	-84.058152
	4.826060	3.902655	-84.186378
	5.016606	2.953556	-84.343793
	5.264092	2.017710	-84.525995
	5.575007	1.092271	-84.728469
	5.950300	0.171191	-84.947116
	6.381529	-0.756028	-85.178072
	6.847359	-1.704982	-85.416160
	7.312804	-2.695761	-85.652491
	7.732336	-3.750732	-85.873701
	8.056560	-4.890584	-86.064156
	8.240706	-6.129782	-86.209983
	8.252693	-7.473413	-86.303274
	8.079010	-8.915841	-86.344970
	7.727056	-10.440769	-86.345408
	7.223357	-12.022955	-86.322474
	6.607745	-13.631714	-86.298239
	5.925057	-15.235390	-86.295360
	5.217540	-16.805218	-86.334454
	4.520221	-18.317593	-86.432539
	3.858810	-19.754681	-86.601559
	3.249090	-21.104133	-86.847557
	2.698331	-22.358464	-87.171620
	2.208907	-23.513521	-87.570597
	1.782055	-24.566183	-88.036440
	1.419173	-25.513301	-88.557362
	1.120616	-26.352371	-89.120892
	0.884833	-27.081764	-89.714708
	0.709038	-27.699789	-89.675118
	0.589537	-28.204235	-89.065061
	0.520789	-28.592996	-88.472766
	0.494652	-28.864874	-87.914605
	0.500882	-29.020103	-87.403744
	0.528325	-29.060684	-86.949546
	0.566220	-28.990344	-86.558541
	0.605644	-28.814194	-86.236009
	0.640820	-28.538510	-85.986932
	0.670319	-28.170383	-85.816860
	0.697681	-27.717267	-85.732786
	0.730027	-27.187302	-85.742097
	0.775696	-26.589993	-85.849328
	0.842758	-25.936313	-86.053098
	0.937664	-25.238502	-86.344916
	1.064129	-24.509673	-86.709912
	1.223347	-23.763139	-87.128011
	1.414522	-23.012052	-87.574552
	1.634758	-22.269449	-88.021025
	1.878974	-21.548083	-88.436646
	2.140384	-20.859749	-88.791699
	2.411166	-20.214514	-89.062169
	2.682782	-19.620281	-89.232974
	2.946243	-19.082543	-89.299354
	3.192449	-18.604515	-89.266716
	3.412775	-18.188133	-89.147975
	3.600807	-17.834931	-88.960490
	3.753925	-17.546043	-88.724674
	3.872570	-17.322197	-88.462789
	3.959073	-17.163882	-88.197202
	4.018314	-17.071048	-87.949261
	4.058815	-17.042843	-87.739007
	4.092687	-17.077760	-87.584709
	4.134926	-17.173794	-87.502523
	4.202572	-17.328632	-87.506589
	4.313483	-17.540115	-87.607852
	4.484757	-17.806372	-87.811569
	4.731157	-18.124974	-88.115424
	5.063826	-18.491456	-88.508460
	5.489559	-18.897753	-88.970781
	6.010169	-19.330826	-89.474481
	6.620856	-19.771871	-89.986164
	7.307778	-20.196684	-89.527860
	8.046062	-20.577413	-89.094468
	8.799403	-20.885087	-88.728450
	9.521851	-21.092186	-88.431113
	10.161908	-21.175016	-88.191966
	10.669707	-21.115576	-87.992095
	11.006842	-20.902621	-87.808475
	11.155027	-20.532120	-87.619619
	11.119561	-20.007047	-87.410639
	10.927367	-19.335889	-87.174278
	10.621604	-18.529656	-86.908932
	10.253239	-17.599172	-86.617112
	9.870426	-16.554775	-86.305595
	9.509798	-15.407577	-85.985654
	9.192869	-14.170069	-85.670871
	8.927219	-12.855367	-85.373165
	8.710104	-11.475900	-85.100130
	8.532229	-10.042852	-84.855097
	8.381134	-8.566520	-84.638817
	8.244202	-7.056654	-84.451288
	8.110509	-5.522553	-84.293043
	7.971459	-3.972805	-84.165763
	7.821008	-2.414503	-84.072647
	7.655671	-0.853167	-84.018609
	7.474103	0.705849	-84.009711
	7.276282	2.255736	-84.051963
	7.062439	3.787660	-84.150291
	6.832246	5.291135	-84.308048
	6.584482	6.754982	-84.526762
	6.316889	8.168290	-84.805702
	6.026531	9.520677	-85.141517
	5.710814	10.801998	-85.528327
	5.368272	12.002262	-85.957869
	4.998770	13.111979	-86.419253
	4.603873	14.122605	-86.898689
	4.187897	15.026976	-87.379647
	3.759001	15.819619	-87.843579
	3.329181	16.496599	-88.271086
	2.913060	17.055009	-88.643386
	2.526159	17.492725	-88.943831
	2.183047	17.808676	-89.158996
	1.895661	18.003426	-89.279325
	1.672205	18.079570	-89.299737
	1.516927	18.041260	-89.219831
	1.430273	17.893032	-89.043322
	1.409030	17.639033	-88.777094
	1.446918	17.283486	-88.429947
	1.535567	16.831901	-88.011460
	1.665090	16.291699	-87.531920
	1.824495	15.671791	-87.003298
	2.002728	14.982110	-86.439953
	2.190220	14.233611	-85.858148
	2.380177	13.437899	-85.275022
	2.569038	12.606049	-84.708115
	2.756298	11.747454	-84.175585
	2.943994	10.869617	-83.695944
	3.135790	9.978592	-83.286152
	3.336196	9.079072	-82.959191
	3.550602	8.174231	-82.722836
	3.785914	7.266488	-82.579192
	4.051011	6.359041	-82.524317
	4.356242	5.456067	-82.548817
	4.711650	4.560707	-82.640318
	5.124523	3.672679	-82.786471
	5.596846	2.787393	-82.976359
	6.122242	1.896463	-83.199797
	6.682434	0.988267	-83.445504
	7.245108	0.047511	-83.700329
	7.765618	-0.945305	-83.950892
	8.193151	-2.011782	-84.185921
	8.479574	-3.170168	-84.397979
	8.587915	-4.429945	-84.585469
	8.498310	-5.789402	-84.754331
	8.211084	-7.236017	-84.917906
	7.746815	-8.748607	-85.095338
	7.142768	-10.300518	-85.309018
	6.445595	-11.863325	-85.580805
	5.702332	-13.410617	-85.928216
	4.953515	-14.920606	-86.362024
	4.230457	-16.376233	-86.884923
	3.555607	-17.763879	-87.491410
	2.943870	-19.072633	-88.169209
	2.404001	-20.294042	-88.900782
	1.940342	-21.421609	-89.665361
	1.554471	-22.450046	-89.556737
	1.245877	-23.374628	-88.780870
	1.011899	-24.191155	-88.019085
	0.847490	-24.896748	-87.281799
	0.744970	-25.490612	-86.577967
	0.694261	-25.973976	-85.915161
	0.683698	-26.349495	-85.299659
	0.700946	-26.620587	-84.736436
	0.733974	-26.790753	-84.229268
	0.772497	-26.863044	-83.781192
	0.809874	-26.839768	-83.396353
	0.844330	-26.722551	-83.082995
	0.878145	-26.513530	-82.854880
	0.915684	-26.217228	-82.729887
	0.962326	-25.841115	-82.726843
	1.024168	-25.394376	-82.860450
	1.107577	-24.886256	-83.134404
	1.219018	-24.325183	-83.537563
	1.364786	-23.719209	-84.047107
	1.549461	-23.077232	-84.633798
	1.774252	-22.409789	-85.264047
	2.037073	-21.728936	-85.901080
	2.333500	-21.047457	-86.507912
	2.657357	-20.377725	-87.051239
	3.001253	-19.730925	-87.505300
	3.356775	-19.117153	-87.854482
	3.713893	-18.546110	-88.093121
	4.060646	-18.027476	-88.223857
	4.383863	-17.570419	-88.256263
	4.670729	-17.182529	-88.204925
	4.911108	-16.868727	-88.086989
	5.099799	-16.630588	-87.920248
	5.237691	-16.466532	-87.722624
	5.331395	-16.372861	-87.512835
	5.391162	-16.345302	-87.310050
	5.428468	-16.380511	-87.132319
	5.455749	-16.476537	-86.996121
	5.487939	-16.632011	-86.916470
	5.543435	-16.845066	-86.906144
	5.642973	-17.113062	-86.974705
