knee_X	knee_Y	knee_Z
	6.316720	-2.758943	-28.031493
	4.785641	-2.980298	-28.353836
	3.549658	-3.146523	-28.526571
	2.616071	-3.245904	-28.561026
	1.987120	-3.274163	-28.472315
	1.659519	-3.234130	-28.275862
	1.623891	-3.134100	-27.985032
	1.864867	-2.985794	-27.610396
	2.362286	-2.802685	-27.160799
	3.093240	-2.598310	-26.645989
	4.034423	-2.384486	-26.078720
	5.164066	-2.170056	-25.475299
	6.463073	-1.960415	-24.855758
	7.915598	-1.757792	-24.244291
	9.508903	-1.562091	-23.668696
	11.231893	-1.371652	-23.157634
	13.072650	-1.183802	-22.736252
	15.015761	-0.995689	-22.420990
	17.039810	-0.805586	-22.213938
	19.115476	-0.614483	-22.098446
	21.205253	-0.427362	-22.039357
	23.265653	-0.252902	-21.989400
	25.251411	-0.101295	-21.900122
	27.120185	0.018976	-21.734317
	28.836701	0.104202	-21.475031
	30.375605	0.156793	-21.127759
	31.722135	0.184404	-20.718047
	32.870687	0.197748	-20.287626
	33.822361	0.208041	-19.887193
	34.582151	0.224603	-19.564115
	35.156351	0.252977	-19.351539
	35.551362	0.294035	-19.265370
	35.774246	0.344223	-19.306233
	35.833881	0.396608	-19.461213
	35.741373	0.442309	-19.706391
	35.509367	0.472008	-20.013105
	35.150865	0.477576	-20.355580
	34.678682	0.453622	-20.714852
	34.105870	0.398787	-21.077635
	33.445922	0.316355	-21.434022
	32.711984	0.213323	-21.777297
	31.916216	0.098131	-22.104219
	31.069812	-0.021643	-22.413782
	30.182906	-0.140561	-22.704217
	29.264619	-0.255713	-22.970288
	28.323751	-0.366868	-23.204156
	27.369367	-0.476241	-23.398792
	26.410852	-0.587610	-23.550322
	25.457787	-0.705075	-23.657697
	24.519797	-0.831952	-23.721094
	23.606422	-0.970150	-23.742009
	22.726989	-1.119825	-23.724190
	21.890415	-1.279152	-23.673279
	21.105321	-1.444683	-23.597000
	20.380474	-1.612269	-23.505930
	19.725213	-1.777934	-23.411920
	19.149792	-1.938465	-23.325234
	18.665451	-2.091624	-23.253204
	18.284226	-2.235789	-23.200054
	18.018885	-2.369432	-23.167027
