ankle_X	ankle_Y	ankle_Z
	-25.288376	-119.478647	-50.399826
	-23.635818	-121.440426	-52.471524
	-22.032975	-123.132885	-54.452418
	-20.489000	-124.571164	-56.354650
	-19.011113	-125.769832	-58.187778
	-17.605370	-126.743259	-59.958917
	-16.276648	-127.505089	-61.673233
	-15.028043	-128.068501	-63.334881
	-13.861072	-128.446192	-64.947796
	-12.776251	-128.649846	-66.516066
	-11.773086	-128.691036	-68.043778
	-10.849910	-128.583376	-69.534765
	-10.003918	-128.343891	-70.992892
	-9.231516	-127.993049	-72.422844
	-8.529367	-127.554404	-73.830896
	-7.895819	-127.054062	-75.225088
	-7.331932	-126.519735	-76.614863
	-6.841488	-125.979821	-78.010577
	-6.430557	-125.462207	-79.422793
	-6.107704	-124.992156	-80.861069
	-5.884198	-124.590180	-82.332479
	-5.772940	-124.271127	-83.840420
	-5.786408	-124.044252	-85.384051
	-5.934726	-123.913485	-86.958529
	-6.224071	-123.877661	-88.556290
	-6.655325	-123.930498	-90.168441
	-7.223315	-124.060727	-91.784859
	-7.916993	-124.252831	-93.393809
	-36.999141	10.003062	172.388865
	-36.922106	10.966006	173.398617
	-36.738534	11.935212	174.421343
	-36.452919	12.906560	175.417990
	-36.071406	13.873568	176.354235
	-35.600177	14.825858	177.203333
	-35.045008	15.747426	177.946573
	-34.411830	16.616430	178.571966
	-33.707053	17.406289	179.072481
	-32.938003	18.087499	179.444966
	-32.114647	18.630114	179.690328
	-31.251322	19.006458	179.813669
	-30.366562	19.193918	179.822765
	-29.481206	19.177384	179.725271
	-28.616467	18.950048	179.526362
	-27.792721	18.512251	179.228023
	-27.028405	17.869064	178.829105
	-26.338643	17.027546	178.324797
	-25.734053	15.994442	177.706272
	-29.714511	-128.068017	-110.916450
	-30.685982	-128.539009	-110.874270
	-31.608603	-128.987388	-110.730876
	-32.487513	-129.393652	-110.479220
	-33.330780	-129.740127	-110.111778
	-34.150057	-130.012081	-109.620400
	-34.960675	-130.197379	-108.995676
	-35.781859	-130.283754	-108.225165
	-36.637120	-130.255727	-107.291650
	-37.553811	-130.093584	-106.172724
	-38.562239	-129.772638	-104.840173
	-39.695163	-129.260596	-103.257396
	-40.987057	-128.513376	-101.375098
	-42.472091	-127.468377	-99.124961
	-44.180409	-126.033689	-96.409780
	-46.131967	-124.074217	-93.089345
	-48.325642	-121.393949	-88.960926
	-50.719575	-117.711756	-83.733787
	-53.197170	-112.637904	-77.007509
	-55.514097	-105.690068	-68.295051
	-57.237777	-96.458321	-57.200965
	-57.749342	-85.062330	-43.895508
	-56.440024	-72.667990	-29.644902
	-53.076667	-61.139691	-16.465144
	-47.969196	-51.782049	-5.845361
	-41.748975	-44.761119	1.868612
	-35.056968	-39.573954	7.044741
	-28.385292	-35.605005	10.231417
	-22.053930	-32.363562	11.921869
	-16.242969	-29.519128	12.506692
	-11.035630	-26.871992	12.285933
	-6.454109	-24.315685	11.491585
	-2.483928	-21.806769	10.308168
	0.910458	-19.344561	8.886389
	3.775640	-16.957958	7.350188
	6.163374	-14.694850	5.803027
	8.127878	-12.612312	4.335619
	9.724085	-10.768887	3.032190
	11.005050	-9.220162	1.975643
	12.020010	-8.016757	1.253901
	12.813148	-7.203692	0.965894
	13.418304	-6.822123	1.226220
	13.847576	-6.915098	2.171388
	14.074861	-7.535623	3.969351
	14.011155	-8.750091	6.827476
	13.469892	-10.623320	10.985008
	12.137494	-13.162424	16.659684
	9.611973	-16.202112	23.891851
	5.651261	-19.301826	32.240363
	0.622108	-21.948405	40.477331
	-4.536543	-24.177949	46.754599
	-9.132825	-26.682778	49.366106
	-12.894534	-30.058464	47.333594
	-15.422549	-33.965757	40.948500
	-16.462733	-37.077281	32.284772
	-16.526687	-38.509336	23.907504
	-16.398792	-38.551693	17.226135
	-16.521828	-37.966451	12.466629
	-17.009564	-37.356625	9.311953
	-17.841553	-37.055763	7.325490
	-18.969438	-37.217442	6.114563
	-20.350397	-37.903653	5.362613
	-21.948907	-39.132601	4.820026
	-23.727880	-40.900194	4.290225
	-25.641154	-43.191801	3.616895
	-27.630102	-45.989408	2.675189
	-29.623673	-49.273222	1.369185
	-31.540999	-53.019488	-0.366962
	-33.295129	-57.196010	-2.566227
	-34.798664	-61.752893	-5.223220
	-35.973892	-66.612912	-8.289223
	-36.764818	-71.672141	-11.675417
	-37.144308	-76.810375	-15.265167
	-37.115011	-81.904001	-18.931334
	-36.706054	-86.839786	-22.556429
	-35.965344	-91.526405	-26.049097
	-34.950007	-95.899679	-29.350295
	-33.719210	-99.924343	-32.432103
	-32.329606	-103.591769	-35.292713
	-30.832183	-106.911091	-37.947757
	-29.270300	-109.899348	-40.421268
	-27.678710	-112.575901	-42.739564
	-26.083358	-114.960622	-44.928200
	-24.502501	-117.073253	-47.010717
	-22.949344	-118.932499	-49.007878
	-21.434148	-120.555782	-50.937263
	-19.964874	-121.959183	-52.813051
	-18.547635	-123.156004	-54.645591
	-17.187146	-124.155032	-56.441111
	-15.886986	-124.960728	-58.202390
	-14.650133	-125.575447	-59.930777
	-13.479437	-126.001523	-61.627954
	-12.377424	-126.242437	-63.296145
	-11.345405	-126.304020	-64.938066
	-10.382659	-126.196059	-66.557482
	-9.486691	-125.933955	-68.159422
	-8.654357	-125.539001	-69.749876
	-7.883189	-125.036877	-71.335655
	-7.172704	-124.456164	-72.924328
	-6.525229	-123.827812	-74.523767
	-5.946193	-123.184635	-76.141285
	-5.444500	-122.559309	-77.782136
	-5.033143	-121.981393	-79.447765
	-4.728936	-121.475738	-81.135286
	-4.550571	-121.062110	-82.838268
	-4.515767	-120.754571	-84.547767
	-4.638302	-120.561268	-86.253732
	-4.925252	-120.484536	-87.946471
	-5.375269	-120.519997	-89.616936
	-5.978430	-120.655101	-91.256411
	-6.717183	-120.868418	-92.856820
	-7.568055	-121.130369	-94.410981
	-39.504777	11.878561	172.785615
	-39.402207	12.837905	173.864739
	-39.200498	13.835347	174.912063
	-38.903965	14.872875	175.890821
	-38.514667	15.943441	176.772747
	-38.032232	17.029325	177.539103
	-37.454614	18.101765	178.179650
	-36.779631	19.122495	178.691346
	-36.006991	20.047243	179.077174
	-35.140622	20.830342	179.344860
	-34.190611	21.429142	179.505553
	-33.173970	21.807698	179.572320
	-32.114216	21.939694	179.558212
	-31.039878	21.809936	179.473987
	-29.982088	21.413750	179.326027
	-28.971313	20.755034	179.114911
	-28.033998	19.844492	178.834736
	-27.190218	18.698561	178.473352
	-30.364966	-123.128876	-107.887214
	-31.642611	-123.857415	-107.841601
	-32.856679	-124.572899	-107.721118
	-34.004610	-125.238752	-107.511520
	-35.087768	-125.824854	-107.198684
	-36.111596	-126.308634	-106.768508
	-37.085305	-126.674070	-106.206519
	-38.020961	-126.908720	-105.497336
	-38.932652	-127.001093	-104.624167
	-39.836050	-126.939057	-103.568090
	-40.747825	-126.707424	-102.306645
	-41.684464	-126.285026	-100.812126
	-42.660819	-125.643716	-99.050699
	-43.689151	-124.747903	-96.981988
	-44.779104	-123.551222	-94.556982
	-45.937751	-121.991773	-91.713686
	-47.167300	-119.988284	-88.371518
	-48.458874	-117.435936	-84.425479
	-49.782990	-114.201426	-79.741219
	-51.077173	-110.122938	-74.155853
	-52.230094	-105.027537	-67.497389
	-53.064863	-98.781704	-59.638974
	-53.333136	-91.386901	-50.600034
	-52.743335	-83.101451	-40.675683
	-51.041231	-74.487436	-30.490265
	-48.115157	-66.256861	-20.845753
	-44.053896	-58.979961	-12.425685
	-39.116302	-52.895683	-5.590464
	-33.642126	-47.936902	-0.378793
	-27.962691	-43.872854	3.370168
	-22.347747	-40.440754	5.894857
	-16.989711	-37.417092	7.439473
	-12.010672	-34.638951	8.224421
	-7.478537	-32.000805	8.437982
	-3.424064	-29.443913	8.236107
	0.145560	-26.946048	7.745469
	3.237765	-24.513934	7.067450
	5.869140	-22.176438	6.282243
	8.062237	-19.976500	5.453686
	9.844183	-17.963128	4.633606
	11.246175	-16.184644	3.863906
	12.301834	-14.682518	3.176914
	13.043430	-13.486916	2.595498
	13.497815	-12.616057	2.133401
	13.684133	-12.078644	1.795659
	13.612926	-11.877274	1.578954
	13.285760	-12.011212	1.472007
	12.696333	-12.477171	1.456816
	11.833741	-13.268085	1.510524
	10.686818	-14.372141	1.606392
	9.249192	-15.773586	1.715128
	7.526008	-17.452991	1.809448
	5.540407	-19.385211	1.870889
	3.334171	-21.537560	1.894072
	0.960222	-23.870929	1.884895
	-1.527415	-26.343395	1.854493
	-4.080038	-28.914872	1.812762
	-6.657345	-31.552149	1.762327
	-9.229184	-34.233318	1.693484
	-11.775253	-36.950644	1.581978
	-14.282702	-39.712260	1.389870
	-16.741836	-42.541376	1.069510
	-19.138877	-45.470124	0.571881
	-21.450507	-48.530258	-0.144629
	-23.645414	-51.746502	-1.111773
	-25.688203	-55.133801	-2.352714
	-27.541611	-58.694701	-3.879846
	-29.168790	-62.415159	-5.689197
	-30.536536	-66.262910	-7.757101
	-31.619308	-70.192272	-10.042642
	-32.403530	-74.153538	-12.494136
	-32.889714	-78.102212	-15.057342
	-33.090474	-82.003531	-17.683103
	-33.025935	-85.829620	-20.330653
	-32.719888	-89.553178	-22.965882
	-32.198477	-93.145497	-25.558896
	-31.490274	-96.579751	-28.085003
	-30.625183	-99.833361	-30.527257
	-29.632275	-102.887615	-32.876561
	-28.538585	-105.727616	-35.129966
	-27.368905	-108.342975	-37.289163
	-26.145471	-110.728352	-39.359187
	-24.887657	-112.883339	-41.346996
	-23.612511	-114.811019	-43.259906
